"cosHig","Points:0","Points:1","Points:2"
0,243.75,18.75,0
0,262.5,18.75,0
0,281.25,18.75,0
0,300,18.75,0
0,318.75,18.75,0
0,337.5,18.75,0
0,356.25,18.75,0
0,375,18.75,0
0,393.75,18.75,0
0,412.5,18.75,0
0,431.25,18.75,0
0,450,18.75,0
0,468.75,18.75,0
0,487.5,18.75,0
0,506.25,18.75,0
0,525,18.75,0
0,543.75,18.75,0
0,562.5,18.75,0
0,581.25,18.75,0
0,600,18.75,0
0,618.75,18.75,0
0,637.5,18.75,0
0,656.25,18.75,0
0,675,18.75,0
0,693.75,18.75,0
0,712.5,18.75,0
0,731.25,18.75,0
0,750,18.75,0
0,768.75,18.75,0
0,787.5,18.75,0
0,806.25,18.75,0
0,825,18.75,0
0,843.75,18.75,0
0,862.5,18.75,0
0,881.25,18.75,0
0,900,18.75,0
0,918.75,18.75,0
0,937.5,18.75,0
0,956.25,18.75,0
0,975,18.75,0
0,993.75,18.75,0
0,1012.5,18.75,0
0,1031.2,18.75,0
0,1050,18.75,0
0,1068.8,18.75,0
0,1087.5,18.75,0
0,1106.2,18.75,0
0,1125,18.75,0
0,1143.8,18.75,0
0,1162.5,18.75,0
0,1181.2,18.75,0
0,1200,18.75,0
0,1218.8,18.75,0
0,1237.5,18.75,0
0,1256.2,18.75,0
0,1275,18.75,0
0,1293.8,18.75,0
0,1312.5,18.75,0
0,1331.2,18.75,0
0,1350,18.75,0
0,1368.8,18.75,0
0,1387.5,18.75,0
0,1406.2,18.75,0
0,1425,18.75,0
0,1443.8,18.75,0
0,1462.5,18.75,0
0,1481.2,18.75,0
0,1500,18.75,0
0,1518.8,18.75,0
0,1537.5,18.75,0
0,1556.2,18.75,0
0,1575,18.75,0
0,1593.8,18.75,0
0,1612.5,18.75,0
0,1631.2,18.75,0
0,1650,18.75,0
0,1668.8,18.75,0
0,1687.5,18.75,0
0,1706.2,18.75,0
0,1725,18.75,0
0,1743.8,18.75,0
0,1762.5,18.75,0
0,1781.2,18.75,0
0,1800,18.75,0
0,1818.8,18.75,0
0,1837.5,18.75,0
0,1856.2,18.75,0
0,1875,18.75,0
0,1893.8,18.75,0
0,1912.5,18.75,0
0,1931.2,18.75,0
0,1950,18.75,0
0,1968.8,18.75,0
0,1987.5,18.75,0
0,2006.2,18.75,0
0,2025,18.75,0
0,2043.8,18.75,0
0,2062.5,18.75,0
0,2081.2,18.75,0
0,2100,18.75,0
0,2118.8,18.75,0
0,2137.5,18.75,0
0,2156.2,18.75,0
0,2175,18.75,0
0,2193.8,18.75,0
0,2212.5,18.75,0
0,2231.2,18.75,0
0,2250,18.75,0
0,2268.8,18.75,0
0,2287.5,18.75,0
0,2306.2,18.75,0
0,2325,18.75,0
0,2343.8,18.75,0
0,2362.5,18.75,0
0,2381.2,18.75,0
0,2400,18.75,0
0,2418.8,18.75,0
0,2437.5,18.75,0
0,2456.2,18.75,0
0,2475,18.75,0
0,2493.8,18.75,0
0,2512.5,18.75,0
0,2531.2,18.75,0
0,2550,18.75,0
0,2568.8,18.75,0
0,2587.5,18.75,0
0,2606.2,18.75,0
0,2625,18.75,0
0,2643.8,18.75,0
0,2662.5,18.75,0
0,2681.2,18.75,0
0,2700,18.75,0
0,2718.8,18.75,0
0,2737.5,18.75,0
0,2756.2,18.75,0
0,2775,18.75,0
0,2793.8,18.75,0
0,2812.5,18.75,0
0,2831.2,18.75,0
0,2850,18.75,0
0,2868.8,18.75,0
0,2887.5,18.75,0
0,2906.2,18.75,0
0,2925,18.75,0
0,2943.8,18.75,0
0,2962.5,18.75,0
0,2981.2,18.75,0
0,3000,18.75,0
0,3018.8,18.75,0
0,3037.5,18.75,0
0,3056.2,18.75,0
0,3075,18.75,0
0,3093.8,18.75,0
0,3112.5,18.75,0
0,3131.2,18.75,0
0,3150,18.75,0
0,3168.8,18.75,0
0,3187.5,18.75,0
0,3206.2,18.75,0
0,3225,18.75,0
0,3243.8,18.75,0
0,3262.5,18.75,0
0,3281.2,18.75,0
0,3300,18.75,0
0,3318.8,18.75,0
0,3337.5,18.75,0
0,3356.2,18.75,0
0,3375,18.75,0
0,3393.8,18.75,0
0,3412.5,18.75,0
0,3431.2,18.75,0
0,3450,18.75,0
0,3468.8,18.75,0
0,3487.5,18.75,0
0,3506.2,18.75,0
0,3525,18.75,0
0,3543.8,18.75,0
0,3562.5,18.75,0
0,3581.2,18.75,0
0,3600,18.75,0
0,3618.8,18.75,0
0,3637.5,18.75,0
0,3656.2,18.75,0
0,3675,18.75,0
0,3693.8,18.75,0
0,3712.5,18.75,0
0,3731.2,18.75,0
0,3750,18.75,0
0,3768.8,18.75,0
0,3787.5,18.75,0
0,3806.2,18.75,0
0,3825,18.75,0
0,3843.8,18.75,0
