Z,	X 
-0.1,	12.551102204408817 
-0.1,	12.567134268537075 
-0.1,	12.58316633266533 
-0.1,	12.599198396793586 
-0.1,	12.615230460921843 
-0.1,	12.6312625250501 
-0.1,	12.647294589178356 
-0.1,	12.663326653306612 
-0.1,	12.67935871743487 
-0.1,	12.695390781563127 
-0.1,	12.711422845691382 
-0.1,	12.727454909819638 
-0.1,	12.743486973947896 
-0.1,	12.759519038076153 
-0.1,	12.775551102204409 
-0.1,	12.791583166332664 
-0.1,	12.807615230460922 
-0.1,	12.823647294589179 
-0.1,	12.839679358717435 
-0.1,	12.85571142284569 
-0.1,	12.871743486973948 
-0.1,	12.887775551102205 
-0.1,	12.90380761523046 
-0.1,	12.919839679358716 
-0.1,	12.935871743486974 
-0.1,	12.951903807615231 
-0.1,	12.967935871743487 
-0.1,	12.983967935871743 
-0.1,	13.0 
